Ingresos_Mensuales,Gastos_Mensuales,Deudas_Activas,Historial_Credito,Edad,Tiene_Tarjeta_Credito,Nivel_Educacion,Inversiones_Activas,Riesgo_Financiero
2248.1,1584.86,3,Bueno,46,0,Superior,2,Medio
2588.91,1972.65,1,Regular,60,1,Superior,1,Medio
2152.63,2146.0,4,Bueno,27,1,Superior,0,Alto
2949.86,1855.26,3,Bueno,50,1,Superior,0,Medio
3764.11,2211.23,0,Malo,27,1,Superior,2,Alto
2211.42,1249.08,1,Bueno,23,0,Medio,1,Bajo
3403.24,2866.26,4,Bueno,21,1,Superior,1,Medio
2575.79,1950.71,1,Malo,56,1,Medio,0,Alto
2365.7,2670.38,0,Bueno,45,0,Superior,0,Bajo
2914.38,2205.64,4,Regular,57,1,Superior,0,Medio
2171.81,2274.05,1,Malo,21,0,Superior,1,Alto
2557.08,2341.86,2,Malo,35,0,Superior,0,Alto
2041.7,2268.63,0,Regular,57,0,Superior,0,Medio
4571.78,2385.63,0,Bueno,33,1,Medio,2,Bajo
3028.21,2797.49,0,Bueno,60,0,Superior,0,Bajo
2440.22,2117.91,2,Regular,28,0,Medio,0,Medio
3171.18,2425.4,2,Regular,25,0,Básico,1,Medio
2910.14,1946.16,3,Bueno,29,1,Medio,1,Medio
2823.22,2864.07,1,Bueno,21,1,Medio,2,Bajo
3491.33,1594.16,3,Bueno,56,1,Medio,0,Medio
3606.01,3080.56,1,Bueno,55,1,Superior,2,Bajo
2575.6,1975.91,2,Regular,22,1,Medio,1,Medio
2539.35,1141.53,2,Bueno,60,1,Medio,2,Bajo
2779.96,2076.86,3,Malo,43,1,Básico,1,Alto
1158.46,1591.37,4,Regular,29,0,Medio,2,Alto
1787.85,2504.39,3,Bueno,54,0,Superior,2,Medio
4093.5,1608.43,1,Regular,34,0,Básico,0,Medio
4315.97,1732.29,3,Bueno,24,0,Medio,2,Medio
2800.77,866.28,0,Bueno,50,1,Medio,0,Bajo
3461.25,1728.62,1,Regular,51,0,Básico,0,Medio
3249.0,545.67,1,Regular,58,0,Medio,0,Medio
5463.1,1049.66,4,Regular,31,0,Básico,0,Medio
3895.66,2456.25,2,Bueno,55,0,Superior,2,Bajo
2897.67,2471.48,1,Bueno,28,1,Superior,1,Bajo
2235.57,2255.27,2,Regular,23,1,Medio,1,Medio
1714.84,1419.81,3,Bueno,34,1,Superior,1,Medio
3162.77,1971.37,0,Bueno,33,0,Medio,2,Bajo
2394.92,1997.84,4,Bueno,52,1,Medio,0,Alto
1862.2,1304.98,2,Regular,54,0,Superior,1,Medio
2482.74,2902.04,1,Bueno,39,1,Medio,2,Bajo
2134.76,2526.42,2,Regular,58,1,Superior,0,Medio
4349.71,1867.42,1,Malo,36,1,Básico,1,Alto
3705.31,2016.13,2,Bueno,22,1,Medio,0,Bajo
2993.62,2125.03,1,Bueno,60,1,Básico,1,Bajo
4183.96,774.96,3,Bueno,37,0,Superior,1,Medio
3061.89,1851.69,1,Regular,54,1,Superior,1,Medio
2310.97,1590.81,1,Bueno,62,0,Superior,0,Bajo
4218.5,1399.03,0,Bueno,36,0,Medio,2,Bajo
3431.13,1831.34,1,Bueno,58,0,Medio,0,Bajo
2170.2,3078.61,0,Regular,22,0,Básico,1,Medio
2847.73,2384.51,4,Bueno,22,0,Medio,0,Medio
2299.51,1657.29,0,Regular,46,1,Superior,2,Medio
1893.76,2343.55,3,Malo,33,1,Medio,0,Alto
